osm_id,oneway,lanes,road_type,half_of_one,total_width,non_zero_means,classification,DotRef,DotRef_Lts,width
3494857,None,2,primary,None,12.30,0.00,5,3494857,primary,6.30
3494858,None,2,primary,None,12.30,0.00,5,3494858,primary,6.30
3495125,None,2,primary,None,12.30,0.00,5,3495125,primary,6.30
3507446,None,2,primary,None,12.30,0.00,5,3507446,primary,6.30
3507447,None,2,primary,None,12.30,0.00,5,3507447,primary,6.30
3518218,None,2,primary,None,12.30,7.00,6,3518218,primary,6.30
3518219,None,2,primary,None,12.30,0.00,5,3518219,primary,6.30
3518220,None,2,primary,None,12.30,4.00,6,3518220,primary,6.30
3523953,None,2,primary,None,12.30,0.00,5,3523953,primary,6.30
3523954,None,2,primary,None,12.30,0.00,5,3523954,primary,6.30
3523955,None,2,primary,None,12.30,0.00,5,3523955,primary,6.30
3523956,None,2,primary,None,12.30,None,6,3523956,primary,6.30
3523957,None,2,primary,None,12.30,None,6,3523957,primary,6.30
3530411,None,2,primary,None,12.30,7.40,6,57117,DotRef,6.30
3530412,None,2,primary,None,12.30,0.00,5,6151,DotRef,6.30
3531081,None,2,primary,None,12.30,10.50,3a,56149,DotRef,6.30
3531082,None,2,primary,None,12.30,7.50,6,56149,DotRef,6.30
3542443,None,2,primary,None,12.30,0.00,5,3542443,primary,6.30
3542444,None,2,primary,None,12.30,0.00,5,3542444,primary,6.30
3542445,None,2,primary,None,12.30,0.00,5,3542445,primary,6.30
3546498,None,2,primary,None,12.30,0.00,5,3546498,primary,6.30
3546499,None,2,primary,None,12.30,0.00,5,3546499,primary,6.30
3551992,None,2,primary,None,12.30,7.50,6,46813,DotRef,6.30
3551995,None,2,primary,None,12.30,9.70,6,16764,DotRef,6.30
3563455,None,2,primary,None,12.30,8.40,6,47660,DotRef,6.30
3595867,None,2,primary,None,12.30,7.00,6,46813,DotRef,6.30
3596352,None,2,primary,None,12.30,0.00,5,36112,DotRef,6.30
3617955,None,2,primary,None,12.30,6.80,6,46813,DotRef,6.30
3617963,None,2,primary,None,12.30,6.90,6,46813,DotRef,6.30
3629992,None,2,primary,None,12.30,0.00,5,3629992,primary,6.30
3629993,None,2,primary,None,12.30,0.00,5,3629993,primary,6.30
3630079,None,2,primary,None,12.30,8.40,6,3630079,primary,6.30
3630080,None,2,primary,None,12.30,7.80,6,3630080,primary,6.30
3630088,None,2,primary,None,12.30,7.20,6,3630088,primary,6.30
3630090,None,2,primary,None,12.30,6.80,6,3630090,primary,6.30
3630091,None,2,primary,None,12.30,7.00,6,3630091,primary,6.30
3630093,None,2,primary,None,12.30,7.20,6,3630093,primary,6.30
3630096,None,2,primary,None,12.30,5.10,6,3630096,primary,6.30
3636645,None,2,primary,None,12.30,13.70,1a,56977,DotRef,6.30
3677757,None,2,primary,None,12.30,8.00,6,56674,DotRef,6.30
3677771,None,2,primary,None,12.30,15.00,1a,36823,DotRef,6.30
3691829,None,2,primary,None,12.30,0.00,5,3691829,primary,6.30
3691991,None,2,primary,None,12.30,0.00,5,3691991,primary,6.30
3691993,None,2,primary,None,12.30,0.00,5,3691993,primary,6.30
3692547,None,2,primary,None,12.30,0.00,5,56674,DotRef,6.30
3700134,None,3,primary,None,15.45,0.00,5,3700134,primary,9.45
3700135,None,1,primary,None,9.15,0.00,5,3700135,primary,3.15
3700136,None,2,primary,None,12.30,0.00,5,3700136,primary,6.30
3700177,None,2,primary,None,12.30,0.00,5,3700177,primary,6.30
3700184,None,2,primary,None,12.30,0.00,5,3700184,primary,6.30
3700186,None,2,primary,None,12.30,0.00,5,3700186,primary,6.30
3700188,None,2,primary,None,12.30,0.00,5,3700188,primary,6.30
3702156,None,2,primary,None,12.30,None,6,27080,DotRef,6.30
3702157,None,2,primary,None,12.30,None,6,27096,DotRef,6.30
3702159,None,2,primary,None,12.30,None,6,7067,DotRef,6.30
3702612,None,2,primary,None,12.30,None,6,27096,DotRef,6.30
3702613,None,2,primary,None,12.30,None,6,27096,DotRef,6.30
3702614,None,2,primary,None,12.30,None,6,27096,DotRef,6.30
3702615,None,2,primary,None,12.30,None,6,7067,DotRef,6.30
3702616,None,2,primary,None,12.30,None,6,7067,DotRef,6.30
3702617,None,2,primary,None,12.30,None,6,7067,DotRef,6.30
3702618,None,2,primary,None,12.30,None,6,7067,DotRef,6.30
3702619,None,2,primary,None,12.30,None,6,7067,DotRef,6.30
3702843,None,2,primary,None,12.30,None,6,38786,DotRef,6.30
3702844,None,2,primary,None,12.30,7.20,6,38786,DotRef,6.30
3702845,None,2,primary,None,12.30,0.00,5,38786,DotRef,6.30
